
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO - PGM;59;6.42%
MUNICIPIO DE FORTALEZA;58;6.31%
DEFENSORIA PUBLICA DO ESTADO DO CEARA;32;3.48%
PROCURADORIA DO MUNICIPIO DE FORTALEZA;23;2.50%
MINISTERIO PUBLICO DO ESTADO DO CEARA;21;2.29%
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC;21;2.29%
MUNICIPIO DE FLORIANOPOLIS;20;2.18%
Outros (67 itens);175;19.04%
TOTAL GERAL;919;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ND;434;47.23%
MUNICIPIO;170;18.50%
ASSOCIACAO PRIVADA;98;10.66%
ESTADO OU DISTRITO FEDERAL;61;6.64%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;59;6.42%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;38;4.13%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;21;2.29%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;16;1.74%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;8;0.87%
AUTARQUIA MUNICIPAL;4;0.44%
Outros (7 itens);10;1.09%
TOTAL GERAL;919;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT;7074;27.38%
ESTADO DO CEARA;7024;27.19%
MUNICIPIO DE FORTALEZA;4033;15.61%
PROCURADORIA GERAL DO ESTADO;960;3.72%
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO - PGM;956;3.70%
SECRETARIA DA SAUDE DO ESTADO DO CEARA;596;2.31%
INSTITUTO DE SAUDE DOS SERVIDORES DO ESTADO DO CEARA - ISSEC;432;1.67%
MUNICIPIO DE FORTALEZA - PROCURADORIA GERAL DO MUNICIPIO DE FORTALEZA - PGM;408;1.58%
MUNICIPIO DE JUAZEIRO DO NORTE;281;1.09%
MUNICIPIO DE MARACANAU;263;1.02%
Outros (284 itens);3805;14.73%
TOTAL GERAL;25832;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;7459;28.88%
ASSOCIACAO PRIVADA;7095;27.47%
ESTADO OU DISTRITO FEDERAL;7025;27.19%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1590;6.16%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1028;3.98%
ND;919;3.56%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;436;1.69%
AUTARQUIA MUNICIPAL;133;0.51%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;46;0.18%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;33;0.13%
Outros (18 itens);68;0.26%
TOTAL GERAL;25832;100.00%




=== REGIONAL NE_TJMA_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12503;1374;19.41%
12500;1161;16.40%
12506;763;10.78%
12494;701;9.90%
12495;536;7.57%
12502;470;6.64%
12505;333;4.70%
12508;229;3.23%
12498;192;2.71%
12499;185;2.61%
Outros (87 itens);1136;16.05%
TOTAL GERAL;7080;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DO MARANHAO - DEFENSORIA PUBLICA DO ESTADO DO MARANHAO;1007;49.61%
ESTADO DO MARANHAO - PROCURADORIA GERAL DA JUSTICA;419;20.64%
ESTADO DO MARANHAO;215;10.59%
MUNICIPIO DE IMPERATRIZ;127;6.26%
ESTADO DO MARANHAO - TRIBUNAL DE JUSTICA DO MARANHAO;65;3.20%
MUNICIPIO DE SAO LUIS;45;2.22%
ESTADO DO MARANHAO - PROCURADORIA GERAL DO ESTADO;13;0.64%
MUNICIPIO DE BARAO DE GRAJAU;12;0.59%
MUNICIPIO DE BURITICUPU;12;0.59%
MUNICIPIO DE TIMON;6;0.30%
Outros (58 itens);109;5.37%
TOTAL GERAL;2030;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1426;70.25%
MUNICIPIO;274;13.50%
ESTADO OU DISTRITO FEDERAL;215;10.59%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;65;3.20%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;23;1.13%
SOCIEDADE EMPRESARIA LIMITADA;7;0.34%
SOCIEDADE ANONIMA FECHADA;5;0.25%
COOPERATIVA;4;0.20%
FUNDACAO PRIVADA;4;0.20%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;2;0.10%
Outros (4 itens);5;0.25%
TOTAL GERAL;2030;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO MARANHAO;5268;49.69%
MUNICIPIO DE SAO LUIS;2126;20.05%
MUNICIPIO DE IMPERATRIZ;884;8.34%
MUNICIPIO DE ACAILANDIA;239;2.25%
MUNICIPIO DE BACABAL;194;1.83%
ESTADO DO MARANHAO - DEFENSORIA PUBLICA DO ESTADO DO MARANHAO;189;1.78%
MUNICIPIO DE BALSAS;121;1.14%
MUNICIPIO DE TIMON;104;0.98%
ESTADO DO MARANHAO - SECRETARIA DE ESTADO DA SAUDE;76;0.72%
ESTADO DO MARANHAO - TRIBUNAL DE JUSTICA DO MARANHAO;71;0.67%
Outros (190 itens);1329;12.54%
TOTAL GERAL;10601;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;5268;49.69%
MUNICIPIO;4679;44.14%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;256;2.41%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;173;1.63%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;71;0.67%
SOCIEDADE EMPRESARIA LIMITADA;51;0.48%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;30;0.28%
EMPRESA PUBLICA;13;0.12%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;13;0.12%
FUNDACAO PRIVADA;9;0.08%
Outros (14 itens);38;0.36%
TOTAL GERAL;10601;100.00%




=== REGIONAL NE_TJPB_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;2330;45.29%
12485;853;16.58%
12501;423;8.22%
12496;198;3.85%
12498;162;3.15%
12495;157;3.05%
12500;139;2.70%
12492;108;2.10%
12491;103;2.00%
12503;87;1.69%
Outros (25 itens);585;11.37%
TOTAL GERAL;5145;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ;1105;72.46%
ESTADO DA PARAIBA;119;7.80%
DEFENSORIA PUBLICA DO ESTADO DA PARAIBA;62;4.07%
MUNICIPIO DE SOUSA;30;1.97%
MUNICIPIO DE CAMPINA GRANDE;22;1.44%
PROCURADORIA GERAL DO MUNICIPIO DE CAMPINA GRANDE;20;1.31%
MUNICIPIO DE SAO JOSE DE PIRANHAS;11;0.72%
MUNICIPIO DE GUARABIRA;9;0.59%
JOAO PESSOA TRIBUNAL DE JUSTICA DO ESTADO DA PARAIBA;8;0.52%
PROCURADORIA GERAL DO ESTADO;6;0.39%
Outros (77 itens);133;8.72%
TOTAL GERAL;1525;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1176;77.11%
MUNICIPIO;140;9.18%
ESTADO OU DISTRITO FEDERAL;119;7.80%
ND;48;3.15%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;13;0.85%
COOPERATIVA;6;0.39%
SOCIEDADE EMPRESARIA LIMITADA;5;0.33%
SOCIEDADE ANONIMA FECHADA;4;0.26%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;3;0.20%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;3;0.20%
Outros (5 itens);8;0.52%
TOTAL GERAL;1525;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DA PARAIBA;2778;41.94%
MUNICIPIO DE CAMPINA GRANDE;945;14.27%
JOAO PESSOA SECRETARIA DE FINANCAS SEFIN;227;3.43%
SECRETARIA DE ESTADO DA SAUDE - SES;222;3.35%
MUNICIPIO DE SOUSA;189;2.85%
PROCURADORIA GERAL DO ESTADO;169;2.55%
MINISTERIO PUBLICO DO ESTADO DA PARAIBA - PGJ;136;2.05%
ADVOCACIA GERAL DA UNIAO;132;1.99%
MUNICIPIO DE BAYEUX;94;1.42%
DEFENSORIA PUBLICA DO ESTADO DA PARAIBA;87;1.31%
Outros (255 itens);1644;24.82%
TOTAL GERAL;6623;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;2780;41.97%
MUNICIPIO;2563;38.70%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;642;9.69%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;257;3.88%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;136;2.05%
ND;109;1.65%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;73;1.10%
FUNDACAO PRIVADA;12;0.18%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;12;0.18%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;7;0.11%
Outros (13 itens);32;0.48%
TOTAL GERAL;6623;100.00%




=== REGIONAL NE_TJPE_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;801;12.14%
12495;468;7.09%
12494;367;5.56%
12485;360;5.46%
12503;317;4.80%
12496;304;4.61%
12499;299;4.53%
12492;278;4.21%
12487;266;4.03%
14759;232;3.52%
Outros (100 itens);2907;44.05%
TOTAL GERAL;6599;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE PERNAMBUCO;38;26.21%
PROCURADORIA GERAL DA JUSTICA;22;15.17%
DEFENSORIA PUBLICA DO ESTADO DE PERNAMBUCO;14;9.66%
MUNICIPIO DE PETROLINA;11;7.59%
MUNICIPIO DE ARCOVERDE;9;6.21%
INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE;8;5.52%
HAPVIDA ASSISTENCIA MEDICA S.A.;4;2.76%
PROCURADORIA GERAL DO ESTADO;4;2.76%
MUNICIPIO DO RECIFE;3;2.07%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2;1.38%
Outros (28 itens);30;20.69%
TOTAL GERAL;145;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;43;29.66%
MUNICIPIO;39;26.90%
ESTADO OU DISTRITO FEDERAL;38;26.21%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;8;5.52%
SOCIEDADE ANONIMA FECHADA;7;4.83%
ENTIDADE SINDICAL;4;2.76%
ASSOCIACAO PRIVADA;2;1.38%
SOCIEDADE EMPRESARIA LIMITADA;2;1.38%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1;0.69%
COOPERATIVA;1;0.69%
TOTAL GERAL;145;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE PERNAMBUCO;3039;51.55%
MUNICIPIO DO RECIFE;469;7.96%
INSTITUTO DE RECURSOS HUMANOS DE PERNAMBUCO - IRH-PE;420;7.12%
MUNICIPIO DE PETROLINA;366;6.21%
MUNICIPIO DE JABOATAO DOS GUARARAPES;112;1.90%
SECRETARIA DE SAUDE;100;1.70%
AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;91;1.54%
MUNICIPIO DE ARCOVERDE;67;1.14%
PROCURADORIA GERAL DO ESTADO;61;1.03%
MUNICIPIO DE TORITAMA;57;0.97%
Outros (193 itens);1113;18.88%
TOTAL GERAL;5895;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;3041;51.59%
MUNICIPIO;1934;32.81%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;420;7.12%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;261;4.43%
AUTARQUIA MUNICIPAL;92;1.56%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;44;0.75%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;25;0.42%
ASSOCIACAO PRIVADA;20;0.34%
SOCIEDADE EMPRESARIA LIMITADA;10;0.17%
FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL;9;0.15%
Outros (15 itens);39;0.66%
TOTAL GERAL;5895;100.00%




=== REGIONAL NE_TJPI_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12495;201;10.82%
12503;192;10.34%
12506;191;10.29%
12494;164;8.83%
12505;131;7.05%
12500;122;6.57%
12496;90;4.85%
12487;77;4.15%
12502;75;4.04%
12489;57;3.07%
Outros (63 itens);557;29.99%
TOTAL GERAL;1857;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PIAUI PROCURADORIA GERAL DA JUSTICA;152;68.16%
ESTADO DO PIAUI;22;9.87%
FUNDACAO MUNICIPAL DE SAUDE;13;5.83%
MUNICIPIO DE TERESINA;10;4.48%
INST. DE ASSIST. A SAUDE DOS SERVIDORES PUBLICOS DO EST. DO PIAUI-IASPI;6;2.69%
MUNICIPIO DE FLORIANO;3;1.35%
CENTRO TERAPEUTICO RENASCER LTDA;3;1.35%
MUNICIPIO DE PIRIPIRI;2;0.90%
DEFENSORIA PUBLICA DO ESTADO DO PIAUI;2;0.90%
MUNICIPIO DE PATOS DO PIAUI;1;0.45%
Outros (9 itens);9;4.04%
TOTAL GERAL;223;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;152;68.16%
ESTADO OU DISTRITO FEDERAL;22;9.87%
MUNICIPIO;19;8.52%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;13;5.83%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;6;2.69%
SOCIEDADE EMPRESARIA LIMITADA;5;2.24%
ND;2;0.90%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;2;0.90%
SOCIEDADE DE ECONOMIA MISTA;1;0.45%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1;0.45%
TOTAL GERAL;223;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PIAUI;877;43.61%
FUNDACAO MUNICIPAL DE SAUDE;299;14.87%
INST. DE ASSIST. A SAUDE DOS SERVIDORES PUBLICOS DO EST. DO PIAUI-IASPI;162;8.06%
MUNICIPIO DE TERESINA;138;6.86%
PIAUI SECRETARIA DE SAUDE;84;4.18%
MUNICIPIO DE PARNAIBA;38;1.89%
ASSOCIACAO PIAUIENSE DE COMBATE AO CANCER ALCENOR ALMEIDA;30;1.49%
MUNICIPIO DE BOM JESUS;27;1.34%
MUNICIPIO DE FLORIANO;27;1.34%
INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO MUNICIPIO DE TERESINA - IPMT;25;1.24%
Outros (120 itens);304;15.12%
TOTAL GERAL;2011;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;878;43.66%
MUNICIPIO;432;21.48%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;299;14.87%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;163;8.11%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;91;4.53%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;45;2.24%
ASSOCIACAO PRIVADA;31;1.54%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;13;0.65%
SOCIEDADE SIMPLES LIMITADA;12;0.60%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;12;0.60%
Outros (13 itens);35;1.74%
TOTAL GERAL;2011;100.00%




=== REGIONAL NE_TJRN_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12501;1353;13.50%
12503;960;9.58%
12494;857;8.55%
12500;729;7.27%
12484;636;6.35%
12491;598;5.97%
12485;575;5.74%
12506;574;5.73%
12495;521;5.20%
14759;271;2.70%
Outros (157 itens);2947;29.41%
TOTAL GERAL;10021;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DO RIO GRANDE DO NORTE;1194;70.65%
ESTADO DO RIO GRANDE DO NORTE;136;8.05%
MUNICIPIO DE MOSSORO;59;3.49%
RIO GRANDE DO NORTE PROCURADORIA GERAL DO ESTADO;35;2.07%
MUNICIPIO DE APODI;22;1.30%
MINISTERIO PUBLICO DO ESTADO DO RIO GRANDE DO NORTE;21;1.24%
RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO;19;1.12%
18ª DEFENSORIA CIVEL DE NATAL;11;0.65%
PROCURADORIA GERAL DO MUNICIPIO DE APODI;11;0.65%
LOURENNA FERNANDES SOCIEDADE INDIVIDUAL DE ADVOCACIA;9;0.53%
Outros (98 itens);173;10.24%
TOTAL GERAL;1690;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1215;71.89%
ESTADO OU DISTRITO FEDERAL;136;8.05%
MUNICIPIO;125;7.40%
ND;106;6.27%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;67;3.96%
SOCIEDADE EMPRESARIA LIMITADA;15;0.89%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;9;0.53%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;6;0.36%
ASSOCIACAO PRIVADA;4;0.24%
SOCIEDADE ANONIMA FECHADA;3;0.18%
Outros (3 itens);4;0.24%
TOTAL GERAL;1690;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO NORTE;5433;49.19%
MUNICIPIO DE NATAL;818;7.41%
RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA;633;5.73%
RIO GRANDE DO NORTE PROCURADORIA GERAL DO ESTADO;492;4.45%
MUNICIPIO DE MOSSORO;487;4.41%
FUNDO ESTADUAL DE SAUDE DO RIO GRANDE DO NORTE;433;3.92%
MUNICIPIO DE PARNAMIRIM;336;3.04%
RIO GRANDE DO NORTE SECRETARIA DA ADMINISTRACAO;261;2.36%
SECRETARIA DE ESTADO DA EDUCACAO  DA CULTURA  DO ESPORTE E DO LAZER (SEEC);173;1.57%
MUNICIPIO DE APODI;172;1.56%
Outros (243 itens);1806;16.35%
TOTAL GERAL;11044;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;5435;49.21%
MUNICIPIO;3304;29.92%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1561;14.13%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;433;3.92%
ND;151;1.37%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;57;0.52%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;26;0.24%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;26;0.24%
ASSOCIACAO PRIVADA;12;0.11%
SOCIEDADE EMPRESARIA LIMITADA;10;0.09%
Outros (10 itens);29;0.26%
TOTAL GERAL;11044;100.00%




=== REGIONAL NE_TJSE_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
9196;862;16.75%
8843;718;13.96%
12495;521;10.13%
12416;431;8.38%
12494;265;5.15%
10671;230;4.47%
12487;217;4.22%
12508;207;4.02%
12503;203;3.95%
12500;149;2.90%
Outros (111 itens);1342;26.08%
TOTAL GERAL;5145;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE SERGIPE;356;45.94%
MUNICIPIO DE ARACAJU;128;16.52%
SERGIPE MINISTERIO PUBLICO;90;11.61%
FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE SERGIPE - FEMP/SE;51;6.58%
MUNICIPIO DE SIMAO DIAS;27;3.48%
SECRETARIA DE ESTADO DA FAZENDA;25;3.23%
BB RENDA FIXA  CURTO PRAZO  AUTOMATICO FUNDO DE INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO;14;1.81%
MUNICIPIO DE ESTANCIA;13;1.68%
MUNICIPIO DE SAO CRISTOVAO;9;1.16%
MUNICIPIO DE NOSSA SENHORA DO SOCORRO;8;1.03%
Outros (33 itens);54;6.97%
TOTAL GERAL;775;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;356;45.94%
MUNICIPIO;214;27.61%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;90;11.61%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;54;6.97%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;28;3.61%
CLUBE/FUNDO DE INVESTIMENTO;14;1.81%
ND;11;1.42%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;4;0.52%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;1;0.13%
ASSOCIACAO PRIVADA;1;0.13%
Outros (2 itens);2;0.26%
TOTAL GERAL;775;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SERGIPE;1959;54.67%
MUNICIPIO DE ARACAJU;392;10.94%
SECRETARIA DE ESTADO DA FAZENDA;139;3.88%
MUNICIPIO DE ESTANCIA;89;2.48%
INSTITUTO DE PROMOCAO E DE ASSISTENCIA A SAUDE DE SERVIDORES DO ESTADO DE SERGIPE - IPESAUDE;84;2.34%
MUNICIPIO DE NOSSA SENHORA DO SOCORRO;74;2.07%
MUNICIPIO DE LAGARTO;70;1.95%
MUNICIPIO DE SIMAO DIAS;68;1.90%
SERGIPE MINISTERIO PUBLICO;63;1.76%
MUNICIPIO DE SAO CRISTOVAO;39;1.09%
Outros (99 itens);606;16.91%
TOTAL GERAL;3583;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;1959;54.67%
MUNICIPIO;1184;33.04%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;149;4.16%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;86;2.40%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;64;1.79%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;63;1.76%
CLUBE/FUNDO DE INVESTIMENTO;24;0.67%
ND;22;0.61%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;8;0.22%
SOCIEDADE EMPRESARIA LIMITADA;7;0.20%
Outros (9 itens);17;0.47%
TOTAL GERAL;3583;100.00%




=== REGIONAL NO_TJAC_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;38;11.21%
12495;37;10.91%
12503;29;8.55%
12489;28;8.26%
12494;28;8.26%
12487;28;8.26%
12484;18;5.31%
12502;17;5.01%
12491;14;4.13%
8961;13;3.83%
Outros (29 itens);89;26.25%
TOTAL GERAL;339;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DO ACRE;33;44.59%
GOVERNO DO ESTADO DO ACRE;13;17.57%
PODER JUDICIARIO;5;6.76%
ELENI M A CASTRO;4;5.41%
SECRETARIA DE ESTADO DA FAZENDA - SEFAZ;3;4.05%
ESTADO DO ACRE;2;2.70%
MINISTERIO PUBLICO DO ESTADO ACRE - PROMOTORIA DE JUSTICA DE PLACIDO DE CASTRO;2;2.70%
JUIZO DE DIREITO DA VARA CIVEL DA COMARCA DE EPITACIOLANDIA;2;2.70%
MUNICIPIO DE RIO BRANCO;2;2.70%
COMITE EXECUTIVO MADRE GABRIELA NARDI;1;1.35%
Outros (7 itens);7;9.46%
TOTAL GERAL;74;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;50;67.57%
ND;8;10.81%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;5;6.76%
EMPRESARIO (INDIVIDUAL);4;5.41%
MUNICIPIO;3;4.05%
ESTADO OU DISTRITO FEDERAL;2;2.70%
ASSOCIACAO PRIVADA;1;1.35%
ENTIDADE SINDICAL;1;1.35%
TOTAL GERAL;74;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
SECRETARIA DE ESTADO DA FAZENDA - SEFAZ;116;28.64%
MUNICIPIO DE RIO BRANCO;65;16.05%
ESTADO DO ACRE;64;15.80%
GOVERNO DO ESTADO DO ACRE;51;12.59%
SECRETARIA DE ESTADO DE SAUDE;20;4.94%
FUNDACAO HOSPITAL ESTADUAL DO ACRE;16;3.95%
MINISTERIO PUBLICO DO ESTADO DO ACRE;16;3.95%
PROCURADORIA GERAL DO ESTADO;5;1.23%
SECRETARIO ESTADUAL DE SAUDE DO ESTADO DO ACRE;4;0.99%
ACRE GOVERNO DO ESTADO;4;0.99%
Outros (32 itens);44;10.86%
TOTAL GERAL;405;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;212;52.35%
MUNICIPIO;87;21.48%
ESTADO OU DISTRITO FEDERAL;64;15.80%
FUNDACAO PUBLICA DE DIREITO PUBLICO ESTADUAL OU DO DISTRITO FEDERAL;16;3.95%
ND;9;2.22%
ASSOCIACAO PRIVADA;9;2.22%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;3;0.74%
ENTIDADE SINDICAL;2;0.49%
ORGANIZACAO SOCIAL (OS);1;0.25%
ORGANIZACAO RELIGIOSA;1;0.25%
Outros (1 itens);1;0.25%
TOTAL GERAL;405;100.00%




